;UF;Município;;Situação;NOME_SIMPLIFICADO;COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE
1;GO;ABADIA DE GOIAS;;Não Cadastrado;ABADIA DE GOIAS;5200050;1050;Abadia de Goiás;ABADIA DE GOIAS;GO;Goiás;8958;0;CO;0,708;0,83;0,622;0,687
1;MG;ABADIA DOS DOURADOS;;Aprovado;ABADIA DOS DOURADOS;3100104;4001;Abadia dos Dourados;ABADIA DOS DOURADOS;MG;Minas Gerais;7006;0;SE;0,689;0,839;0,563;0,693
1;GO;ABADIANIA;;Não Cadastrado;ABADIANIA;5200100;9201;Abadiânia;ABADIANIA;GO;Goiás;20461;0;CO;0,689;0,841;0,579;0,671
1;MG;ABAETE;;Aprovado;ABAETE;3100203;4003;Abaeté;ABAETE;MG;Minas Gerais;23250;0;SE;0,698;0,848;0,556;0,72
1;PA;ABAETETUBA;;Aprovado;ABAETETUBA;1500107;401;Abaetetuba;ABAETETUBA;PA;Pará;159080;0;N;0,628;0,798;0,537;0,579
1;CE;ABAIARA;;Aprovado;ABAIARA;2300101;1301;Abaiara;ABAIARA;CE;Ceará;11853;0;NE;0,628;0,748;0,612;0,54
1;BA;ABAIRA;;Aprovado;ABAIRA;2900108;3301;Abaíra;ABAIRA;BA;Bahia;8710;0;NE;0,603;0,746;0,51;0,577
1;BA;ABARE;;Aprovado;ABARE;2900207;3303;Abaré;ABARE;BA;Bahia;20347;0;NE;0,575;0,776;0,46;0,533
1;PR;ABATIA;;Aprovado;ABATIA;4100103;7401;Abatiá;ABATIA;PR;Paraná;7408;0;S;0,687;0,804;0,596;0,676
1;SC;ABDON BATISTA;;Aprovado;ABDON BATISTA;4200051;9939;Abdon Batista;ABDON BATISTA;SC;Santa Catarina;2548;0;S;0,694;0,812;0,625;0,66
1;PA;ABEL FIGUEIREDO;;Aprovado;ABEL FIGUEIREDO;1500131;375;Abel Figueiredo;ABEL FIGUEIREDO;PA;Pará;7486;0;N;0,622;0,8;0,481;0,625
1;SC;ABELARDO LUZ;;Aprovado;ABELARDO LUZ;4200101;8001;Abelardo Luz;ABELARDO LUZ;SC;Santa Catarina;17960;0;S;0,696;0,852;0,578;0,684
1;MG;ABRE CAMPO;;Aprovado;ABRE CAMPO;3100302;4005;Abre Campo;ABRE CAMPO;MG;Minas Gerais;13444;0;SE;0,654;0,823;0,525;0,646
1;PE;ABREU E LIMA;;Aprovado;ABREU E LIMA;2600054;2631;Abreu e Lima;ABREU E LIMA;PE;Pernambuco;100346;0;NE;0,679;0,791;0,632;0,625
1;TO;ABREULANDIA;;Aprovado;ABREULANDIA;1700251;337;Abreulândia;ABREULANDIA;TO;Tocantins;2594;0;N;0,665;0,835;0,502;0,7
1;MG;ACAIACA;;Aprovado;ACAIACA;3100401;4007;Acaiaca;ACAIACA;MG;Minas Gerais;3994;0;SE;0,63;0,823;0,499;0,61
1;MA;ACAILANDIA;;Aprovado;ACAILANDIA;2100055;961;Açailândia;ACAILANDIA;MA;Maranhão;113121;0;NE;0,672;0,785;0,602;0,643
1;BA;ACAJUTIBA;;Aprovado;ACAJUTIBA;2900306;3305;Acajutiba;ACAJUTIBA;BA;Bahia;15187;0;NE;0,582;0,723;0,487;0,56
1;PA;ACARA;;Não Cadastrado;ACARA;1500206;403;Acará;ACARA;PA;Pará;55669;0;N;0,506;0,757;0,332;0,517
1;CE;ACARAPE;;Aprovado;ACARAPE;2300150;1231;Acarape;ACARAPE;CE;Ceará;15036;0;NE;0,606;0,709;0,562;0,559
1;CE;ACARAU;;Aprovado;ACARAU;2300200;1303;Acaraú;ACARAU;CE;Ceará;63104;0;NE;0,601;0,758;0,517;0,554
1;RN;ACARI;;Aprovado;ACARI;2400109;1601;Acari;ACARI;RN;Rio Grande do Norte;11121;0;NE;0,679;0,779;0,634;0,633
1;PI;ACAUA;;Aprovado;ACAUA;2200053;266;Acauã;ACAUA;PI;Piauí;7102;0;NE;0,528;0,692;0,411;0,517
1;RS;ACEGUA;;Aprovado;ACEGUA;4300034;1118;Aceguá;ACEGUA;RS;Rio Grande do Sul;4942;0;S;0,687;0,852;0,541;0,703
1;CE;ACOPIARA;;Aprovado;ACOPIARA;2300309;1305;Acopiara;ACOPIARA;CE;Ceará;54481;0;NE;0,595;0,724;0,517;0,563
1;MT;ACORIZAL;;Não Cadastrado;ACORIZAL;5100102;9001;Acorizal;ACORIZAL;MT;Mato Grosso;5334;0;CO;0,628;0,816;0,51;0,594
1;AC;ACRELANDIA;;Aprovado;ACRELANDIA;1200013;643;Acrelândia;ACRELANDIA;AC;Acre;15490;0;N;0,604;0,808;0,466;0,584
1;GO;ACREUNA;;Aprovado;ACREUNA;5200134;9645;Acreúna;ACREUNA;GO;Goiás;22546;0;CO;0,686;0,822;0,553;0,71
1;RN;ACU;;Aprovado;ACU;2400208;1603;Açu;ACU;RN;Rio Grande do Norte;58384;0;NE;0,661;0,795;0,568;0,641
1;MG;ACUCENA;;Aprovado;ACUCENA;3100500;4009;Açucena;ACUCENA;MG;Minas Gerais;9368;0;SE;0,61;0,844;0,451;0,595
1;SP;ADAMANTINA;;Aprovado;ADAMANTINA;3500105;6101;Adamantina;ADAMANTINA;SP;São Paulo;35111;0;SE;0,79;0,852;0,75;0,772
1;GO;ADELANDIA;;Aprovado;ADELANDIA;5200159;9769;Adelândia;ADELANDIA;GO;Goiás;2516;0;CO;0,702;0,836;0,622;0,664
1;SP;ADOLFO;;Não Cadastrado;ADOLFO;3500204;6103;Adolfo;ADOLFO;SP;São Paulo;3554;0;SE;0,73;0,844;0,648;0,71
1;PR;ADRIANOPOLIS;;Não Cadastrado;ADRIANOPOLIS;4100202;7403;Adrianópolis;ADRIANOPOLIS;PR;Paraná;5857;0;S;0,667;0,817;0,563;0,644
1;BA;ADUSTINA;;Aprovado;ADUSTINA;2900355;3253;Adustina;ADUSTINA;BA;Bahia;17126;0;NE;0,546;0,718;0,432;0,526
1;PE;AFOGADOS DA INGAZEIRA;;Aprovado;AFOGADOS DA INGAZEIRA;2600104;2301;Afogados da Ingazeira;AFOGADOS DA INGAZEIRA;PE;Pernambuco;37404;0;NE;0,657;0,807;0,565;0,623
1;RN;AFONSO BEZERRA;;Aprovado;AFONSO BEZERRA;2400307;1605;Afonso Bezerra;AFONSO BEZERRA;RN;Rio Grande do Norte;11029;0;NE;0,585;0,713;0,502;0,56
1;ES;AFONSO CLAUDIO;;Aprovado;AFONSO CLAUDIO;3200102;5601;Afonso Cláudio;AFONSO CLAUDIO;ES;Espírito Santo;30455;0;SE;0,667;0,825;0,544;0,661
1;MA;AFONSO CUNHA;;Rejeitado;AFONSO CUNHA;2100105;701;Afonso Cunha;AFONSO CUNHA;MA;Maranhão;6578;0;NE;0,529;0,725;0,434;0,471
1;PE;AFRANIO;;Aprovado;AFRANIO;2600203;2303;Afrânio;AFRANIO;PE;Pernambuco;19810;0;NE;0,588;0,761;0,493;0,542
1;PA;AFUA;;Aprovado;AFUA;1500305;405;Afuá;AFUA;PA;Pará;39567;0;N;0,489;0,774;0,311;0,485
1;PE;AGRESTINA;;Aprovado;AGRESTINA;2600302;2305;Agrestina;AGRESTINA;PE;Pernambuco;25065;0;NE;0,592;0,76;0,47;0,581
1;PI;AGRICOLANDIA;;Aprovado;AGRICOLANDIA;2200103;1001;Agricolândia;AGRICOLANDIA;PI;Piauí;5131;0;NE;0,599;0,742;0,526;0,55
1;SC;AGROLANDIA;;Aprovado;AGROLANDIA;4200200;8003;Agrolândia;AGROLANDIA;SC;Santa Catarina;11013;0;S;0,725;0,827;0,633;0,727
1;SC;AGRONOMICA;;Aprovado;AGRONOMICA;4200309;8005;Agronômica;AGRONOMICA;SC;Santa Catarina;5509;0;S;0,741;0,884;0,595;0,774
1;PA;AGUA AZUL DO NORTE;;Aprovado;AGUA AZUL DO NORTE;1500347;383;Água Azul do Norte;AGUA AZUL DO NORTE;PA;Pará;27615;0;N;0,564;0,797;0,399;0,563
1;MT;AGUA BOA;;Aprovado;AGUA BOA;3100609;4011;Água Boa;AGUA BOA;MG;Minas Gerais;13523;0;SE;0,576;0,799;0,403;0,594
1;MG;AGUA BOA;;Aprovado;AGUA BOA;5100201;9191;Água Boa;AGUA BOA;MT;Mato Grosso;26204;0;CO;0,729;0,829;0,646;0,723
1;AL;AGUA BRANCA;;Aprovado;AGUA BRANCA;2200202;1003;Água Branca;AGUA BRANCA;PI;Piauí;17470;0;NE;0,639;0,763;0,569;0,6
1;PI;AGUA BRANCA;;Aprovado;AGUA BRANCA;2500106;1901;Água Branca;AGUA BRANCA;PB;Paraíba;10306;0;NE;0,572;0,712;0,484;0,542
1;PB;AGUA BRANCA;;Aprovado;AGUA BRANCA;2700102;2701;Água Branca;AGUA BRANCA;AL;Alagoas;20230;0;NE;0,549;0,728;0,432;0,527
1;MS;AGUA CLARA;;Em Análise;AGUA CLARA;5000203;9003;Água Clara;AGUA CLARA;MS;Mato Grosso do Sul;15776;0;CO;0,67;0,823;0,518;0,705
