registros,Crit_Julg,Cmp_Gru,I_Cmp,I_Und
2554,Menor Valor,Não tem Grupo,ARROZ,QUILOGRAMA
2333,Não Informado,Não se Aplica,ARROZ,QUILOGRAMA
2202,Não Informado,Não se Aplica,ARROZ,"FARDO 30,00 KG"
1855,Não Informado,Não se Aplica,ARROZ,"SACO 5,00 KG"
1568,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,QUILOGRAMA
1255,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
1162,Menor Valor,Não tem Grupo,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1117,Não Informado,Não se Aplica,ARROZ IN - NATURA,KG
993,Não Informado,Não se Aplica,ARROZ,KG
765,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 5,00 KG"
625,Não Informado,Não se Aplica,ARROZ,UNIDADE
618,Não Informado,Não se Aplica,ARROZ,"SACO 1,00 KG"
501,Não Informado,Não se Aplica,ARROZ,"PACOTE 5,00 KG"
495,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 1,00 KG"
389,Não Informado,Não se Aplica,ARROZ,FD
308,Não Informado,Não se Aplica,ARROZ,"SACO 60,00 KG"
301,Não Informado,Não se Aplica,ARROZ,FARDO
279,Menor Valor,Não tem Grupo,ARROZ,KG
275,Menor Valor,Não tem Grupo,FARINHA ARROZ,"EMBALAGEM 500,00 G"
260,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KG
251,Menor Valor,Não tem Grupo,ARROZ,UNIDADE
241,Menor Valor,Não tem Grupo,ARROZ,"FARDO 30,00 KG"
234,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT
229,Não Informado,Não se Aplica,ARROZ BENEFICIADO,QUILOGRAMA
225,Menor Valor,Não tem Grupo,ARROZ,"SACO 5,00 KG"
212,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,QUILOGRAMA
209,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO
208,Menor Valor,Grupo 1,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
189,Menor Valor,Não tem Grupo,ARROZ,"SACO 1,00 KG"
187,Não Informado,Não se Aplica,ARROZ IN - NATURA,FD
185,Menor Valor,Não tem Grupo,CASCA ARROZ,UNIDADE
184,Menor Valor,Grupo 1,ARROZ,QUILOGRAMA
180,Não Informado,Não se Aplica,ARROZ,"SACO 50,00 KG"
165,Não Informado,Não se Aplica,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
160,Menor Valor,Não tem Grupo,FARINHA ARROZ,UNIDADE
157,Menor Valor,Grupo 1,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
153,Menor Valor,Grupo 1,ARROZ BENEFICIADO,QUILOGRAMA
150,Não Informado,Não se Aplica,ARROZ,PCT
148,Menor Valor,Não tem Grupo,CASCA ARROZ,QUILOGRAMA
137,Não Informado,Não tem Grupo,ARROZ,QUILOGRAMA
137,Menor Valor,Não tem Grupo,FARINHA ARROZ,QUILOGRAMA
133,Menor Valor,Não tem Grupo,CREME ARROZ,"CAIXA 200,00 G"
129,Não Informado,Não se Aplica,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
122,Não Informado,Não se Aplica,ARROZ,FRD
117,Não Informado,Não se Aplica,ARROZ,"PACOTE 1,00 KG"
116,Menor Valor,Não tem Grupo,FARINHA ARROZ,"LATA 400,00 G"
109,Não Informado,Não se Aplica,ARROZ IN - NATURA,QUILOGRAMA
103,Não Informado,Não se Aplica,ARROZ,PACOTE
95,Menor Valor,Não tem Grupo,ARROZ,PACOTE
94,Não Informado,Não se Aplica,ARROZ IN - NATURA,KILOS
92,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE
91,Menor Valor,Grupo 2,ARROZ,QUILOGRAMA
89,Não Informado,Não se Aplica,CREME ARROZ,"CAIXA 200,00 G"
77,Menor Valor,NULL,ARROZ BENEFICIADO,QUILOGRAMA
73,Menor Valor,Grupo 2,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
70,Não Informado,Não se Aplica,ARROZ,SC
69,Menor Valor,Grupo 1,ARROZ,"PACOTE 5,00 KG"
