registros,I_Cmp,I_Und
5701,ARROZ,QUILOGRAMA
2545,ARROZ,"FARDO 30,00 KG"
2229,ARROZ BENEFICIADO,QUILOGRAMA
2175,ARROZ,"SACO 5,00 KG"
1752,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1721,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
1488,ARROZ IN - NATURA,KG
1447,ARROZ,"PACOTE 5,00 KG"
1418,ARROZ,KG
930,ARROZ,UNIDADE
881,ARROZ,"SACO 1,00 KG"
740,ARROZ,"PACOTE 1,00 KG"
425,ARROZ IN - NATURA,QUILOGRAMA
404,FARINHA ARROZ,"EMBALAGEM 500,00 G"
397,ARROZ,FD
358,ARROZ,FARDO
311,ARROZ,"SACO 60,00 KG"
288,FARINHA ARROZ,UNIDADE
277,ARROZ IN - NATURA,PCT
254,CREME ARROZ,"CAIXA 200,00 G"
227,ARROZ IN - NATURA,FARDO
221,CASCA ARROZ,UNIDADE
219,ARROZ,PACOTE
217,FARINHA ARROZ,"LATA 400,00 G"
200,FARINHA ARROZ,QUILOGRAMA
191,ARROZ IN - NATURA,FD
186,ARROZ,PCT
186,ARROZ,"SACO 50,00 KG"
175,CASCA ARROZ,QUILOGRAMA
157,ARROZ IN - NATURA,PACOTE
123,ARROZ,FRD
111,ARROZ IN - NATURA,UNIDADE
95,ARROZ IN - NATURA,KILOS
94,ARROZ,UN
80,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
73,ARROZ,SC
72,ARROZ IN - NATURA,KG.
72,ARROZ IN - NATURA,QUILO
71,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
66,ARROZ IN - NATURA,SC
62,ARROZ,QUILO
60,CREME ARROZ,"EMBALAGEM 400,00 G"
59,ARROZ,EMBALAGEM
56,ARROZ IN - NATURA,KILO
53,ARROZ IN - NATURA,UN
52,ARROZ BENEFICIADO,"EMBALAGEM 50,00 KG"
51,ARROZ BENEFICIADO,EMB
51,ARROZ,FARDOS
49,ARROZ,KILO
48,CASCA ARROZ,KG
47,ARROZ,UND
46,ARROZ BENEFICIADO,GRAMA
45,ARROZ BENEFICIADO,EMBALAGEM 1 KG
43,ARROZ,SACO
42,ARROZ IN - NATURA,FARDOS
41,ARROZ,PACOTE 5 KG
41,ARROZ BENEFICIADO,EMBALAGEM 5 KG
41,ARROZ,KILOGRAMA
39,ARROZ,PC
34,ARROZ,PACOTE 5KG
32,CASCA ARROZ,EMBALAGEM
31,ARROZ,KGS
31,ARROZ,PCTE
30,ARROZ,KG.
29,ARROZ IN - NATURA,KILOGRAMA
26,ARROZ,PACOTES
26,ARROZ,KILOS
26,ARROZ,FD.
25,ARROZ IN - NATURA,FRD
25,ARROZ IN - NATURA,PACOTE 5KG
25,ARROZ IN - NATURA,SACO
25,ARROZ,FDO
22,LEITE DE ARROZ,"CAIXA 1,00 L"
22,ARROZ,PACOTE 1KG
21,ARROZ IN - NATURA,PACOTE 5 KG
20,CASCA ARROZ,SACO
20,ARROZ IN - NATURA,UND
20,LEITE DE ARROZ,UNIDADE
19,CASCA ARROZ,TONELADA
18,ARROZ BENEFICIADO,KG
17,ARROZ IN - NATURA,EMBALAGEM
17,ARROZ,FARDO 30X01
15,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,UNIDADE
14,CASCA ARROZ,TON
14,ARROZ,FARDO 30 KG.
14,CREME ARROZ,"EMBALAGEM 1,00 KG"
14,ARROZ,QUILOS
14,ARROZ,PACOTE COM 5 KG
13,ARROZ,PÇ
12,ARROZ,PACOTE 1 KG
12,ARROZ,"PACOTE 00000005,00 K"
12,ARROZ IN - NATURA,"PACOTE 5,00 KG"
12,ARROZ IN - NATURA,PACOTE COM 5 KG
12,CASCA ARROZ,PCT
12,ARROZ,KILOGRAMAS
11,ARROZ,"PACOTE 00000001,00 K"
11,ARROZ,PCTS
11,ARROZ IN - NATURA,KGS
11,ARROZ IN - NATURA,SACAS
11,ARROZ IN - NATURA,"FARDO 30,00 KG"
11,ARROZ,PCT 5KG
11,ARROZ,LATA
11,ARROZ IN - NATURA,QUILOS
11,ARROZ,EMBALAGEM 500G
10,ARROZ IN - NATURA,PACOTE 1 KG
10,ARROZ,"FARDO 00000030,00 KG"
10,ARROZ,KGS.
10,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UNIDADE
10,ARROZ IN - NATURA,"PACOTE 1,00 KG"
9,ARROZ IN - NATURA,1
9,ARROZ IN - NATURA,CAIXA
9,ARROZ IN - NATURA,FD.
9,CASCA ARROZ,M3
8,ARROZ IN - NATURA,PACOTE 05 KG
8,ARROZ IN - NATURA,1
8,LEITE DE ARROZ,"GARRAFA 1,00 L"
8,ARROZ,SACA
8,ARROZ IN - NATURA,FDO
8,ARROZ IN - NATURA,SACA
8,CASCA ARROZ,SC
8,ARROZ IN - NATURA,PCTS
7,ARROZ IN - NATURA,PACOTE 1KG
7,ARROZ,FARDO C/30KG
7,ARROZ,X
7,ARROZ,UND.
7,ARROZ,EMBALAGEM 1KG
7,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,D/H
7,ARROZ IN - NATURA,SACOS
7,ARROZ,PACOTE DE 5 KG
7,ARROZ IN - NATURA,CX
7,ARROZ IN - NATURA,PACOTES
7,ARROZ IN - NATURA,PACOTE DE 5KG
7,ARROZ,450G
7,ARROZ,"5,00 KG"
7,ARROZ IN - NATURA,KGS.
7,ARROZ,FRD.
7,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UN
6,CASCA ARROZ,SACOS
6,ARROZ IN - NATURA,PCT COM 5 KG
6,ARROZ,PACOTE DE 5KG
6,ARROZ,PCT.
6,ARROZ,FARDO COM 30 KG
6,ARROZ,FARDO 30X01.
6,CASCA ARROZ,UN
6,ARROZ,FARDO C/30
6,ARROZ,EMBALAGEM 5KG
6,ARROZ IN - NATURA,PC
6,ARROZ,FR
6,ARROZ,LT
6,ARROZ,PACOTE COM 5 QUILOGR
6,ARROZ,PT
6,ARROZ,SACO 1KG
6,ARROZ IN - NATURA,FR
6,ARROZ IN - NATURA,PCT 5 KG
