registros,I_Cmp,I_Und
9918,CAFÉ,"PACOTE 500,00 G"
7071,CAFÉ,QUILOGRAMA
5391,CAFÉ,"PACOTE 250,00 G"
5149,CAFÉ,KG
3983,CAFÉ,"PACOTE 1,00 KG"
3465,CAFÉ,UNIDADE
2287,CAFÉ,"PACOTE 500,00 G"
1900,CAFÉ,PACOTE
1518,CAFÉ,"*PACOTE 1,00 KG"
1172,CAFÉ,"PACOTE 250,00 G"
1100,CAFÉ,PCT
1001,CAFÉ,"*PACOTE 500,00 G"
885,CAFÉ,"PACOTE 5,00 KG"
763,CAFÉ,"*PACOTE 250,00 G"
740,CAFÉ,"PACOTE 1,00 KG"
666,CAFÉ,UNIDADE
566,CAFÉ,"PACOTE 250,00 KG"
555,CAFE TORRADO,KG
545,CAFÉ,QUILO
490,CAFÉ,UN
477,CAFÉ,KILO
452,CAFÉ,"FRASCO 200,00 G"
352,CAFÉ,FD
345,CAFÉ,UND
313,CAFÉ,"CAIXA 500,00 G"
310,CAFÉ,CAIXA
308,CAFÉ,FARDO
293,CAFÉ,"CAIXA 20,00 UN"
269,CAFÉ,PACOTE 500G
263,CAFÉ,CX
261,CAFÉ,"CAIXA 250,00 G"
244,CAFÉ,"*PACOTE 5,00 KG"
227,CAFÉ,PACOTES
206,CAFÉ,"LATA 200,00 G"
185,CAFÉ,KG.
182,CAFÉ,KILOS
177,CAFÉ,QUILOS
168,CAFÉ,"FRASCO 100,00 G"
151,CAFÉ,"CAIXA 500,00 G"
146,CAFÉ,PACOTE 500 GRAMAS
128,CAFÉ,PC
126,CAFÉ,PACOTE 250G
123,CAFÉ,"SACO 50,00 G"
114,CAFÉ,KILOGRAMA
107,CAFÉ,PACOTE 500 G
96,CAFÉ,"POTE 200,00 G"
95,CAFE TORRADO,PACOTE
92,CAFÉ,PCT
82,CAFÉ,"SACHÊ 50,00 G"
80,CAFÉ,PACOTE DE 500 GRAMAS
80,CAFÉ,"LATA 200,00 G"
79,CAFÉ,"CAIXA 24,00 UN"
78,CAFÉ,"FRASCO 400,00 G"
75,CAFÉ,UM
74,CAFÉ,PCT 500G
71,CAFÉ,PACOTE DE 500G
70,CAFÉ,PACOTE 500 G
69,CAFÉ,PCTE
68,CAFE TORRADO,QUILO
63,CAFE TORRADO,PCT
59,CAFÉ,UNID
59,CAFÉ,"*PACOTE 250,00 KG"
58,CAFÉ,PACOTE 500GR
56,CAFÉ,KGS
56,CAFÉ,PACOTE 500 GR
53,CAFÉ,FRASCO
53,CAFE TORRADO,KILO
52,CAFÉ,"PACOTE 00000500,00 G"
52,CAFÉ,"CAIXA 10,00 UN"
51,CAFÉ,FARDOS
51,CAFE TORRADO,QUILOGRAMA
51,CAFÉ,"SACHÊ 50,00 G"
50,CAFÉ,PACOTE COM 500G
47,CAFÉ,VIDRO
44,CAFÉ,UNIDADES
43,CAFÉ,KL
43,CAFÉ,PACOTE DE 250G
41,CAFÉ,*PACOTE
41,CAFÉ,"POTE 150,00 G"
40,CAFÉ,PÇ
39,CAFÉ,PACOTE 1 KG
39,CAFÉ,FRD
39,CAFE TORRADO,FD
38,CAFÉ,PACOTE 1KG
38,CAFÉ,PACOTE 250 G
37,CAFÉ,"*FRASCO 200,00 G"
37,CAFÉ,"PACOTE 5,00 KG"
37,CAFÉ,EMBALAGEM
37,CAFÉ,PACOTE 250 GRAMAS
37,CAFÉ,PACOTE COM 250G
36,CAFÉ,KILOGRAMAS
