registros,I_Cmp,I_Und
70809,CANETA ESFEROGRÁFICA,UNIDADE
29075,CANETA ESFEROGRÁFICA,"CAIXA 50,00 UN"
6536,CANETA ESFEROGRÁFICA,UN
4615,CANETA ESFEROGRÁFICA,CAIXA
3695,CANETA ESFEROGRÁFICA,UND
3425,CANETA ESFEROGRÁFICA,CX
2729,CANETA ESFEROGRÁFICA,"CAIXA 12,00 UN"
1627,CANETA ESFEROGRÁFICA,UMA
1076,CANETA ESFEROGRÁFICA,"CAIXA 25,00 UN"
903,CANETA ESFEROGRÁFICA,UNID
690,CANETA ESFEROGRÁFICA,UM
593,CANETA ESFEROGRÁFICA,UNIDADES
584,CANETA ESFEROGRÁFICA,PÇ
424,CANETA ESFEROGRÁFICA,PEÇA
359,CANETA ESFEROGRÁFICA,PC
236,CANETA ESFEROGRÁFICA,UNID.
228,CANETA ESFEROGRÁFICA,U
210,CANETA ESFEROGRÁFICA,CAIXA COM 50 UNIDADE
198,CANETA ESFEROGRÁFICA,CAIXAS
197,CANETA ESFEROGRÁFICA,UN.
162,CANETA ESFEROGRÁFICA,DUZIA
148,CANETA ESFEROGRÁFICA,UND.
146,CANETA ESFEROGRÁFICA,UD
140,CANETA ESFEROGRÁFICA,CX.
138,CANETA ESFEROGRÁFICA,CAIXA C/ 50 UNIDADES
137,CANETA ESFEROGRÁFICA,"CAIXA 00000050,00 UN"
107,CANETA ESFEROGRÁFICA,PECA
95,CANETA ESFEROGRÁFICA,CANETA
95,CANETA ESFEROGRÁFICA,UNI
82,CANETA ESFEROGRÁFICA,CAIXA 50 UNIDADES
82,CANETA ESFEROGRÁFICA,CAIXA COM 50
73,CANETA ESFEROGRÁFICA,PE
68,CANETA ESFEROGRÁFICA,255022
68,CANETA ESFEROGRÁFICA,CAIXA 50 UN
62,CANETA ESFEROGRÁFICA,CXS
57,CANETA ESFEROGRÁFICA,CAIXA C/ 50 UND
57,CANETA ESFEROGRÁFICA,"CAIXA 1200,00 UN"
53,CANETA ESFEROGRÁFICA,CAIXA C/50
50,CANETA ESFEROGRÁFICA,DZ
49,CANETA ESFEROGRÁFICA,CAIXA COM 50 UND
49,CANETA ESFEROGRÁFICA,PEÇAS
47,CANETA ESFEROGRÁFICA,CX C/ 50 UND
47,CANETA ESFEROGRÁFICA,"50,00 UN"
38,CANETA ESFEROGRÁFICA,ESTOJO
37,CANETA ESFEROGRÁFICA,PÇ.
36,CANETA ESFEROGRÁFICA,CAIXA C/ 50
33,CANETA ESFEROGRÁFICA,CX 50 UND
33,CANETA ESFEROGRÁFICA,1
32,CANETA ESFEROGRÁFICA,UNITARIO
32,CANETA ESFEROGRÁFICA,1
32,CANETA ESFEROGRÁFICA,CXA
30,CANETA ESFEROGRÁFICA,CAIXA 50 UND
30,CANETA ESFEROGRÁFICA,CAIXA 50X1
30,CANETA ESFEROGRÁFICA,CAIXA C/50 UNIDADES
30,CANETA ESFEROGRÁFICA,JOGO
28,CANETA ESFEROGRÁFICA,CAIXA COM 50 UNID.
28,CANETA ESFEROGRÁFICA,CX C/50
27,CANETA ESFEROGRÁFICA,"12,00 UN"
24,CANETA ESFEROGRÁFICA,CAIXA COM 50 UNID
21,CANETA ESFEROGRÁFICA,CONJUNTO
20,CANETA ESFEROGRÁFICA,CAIXA COM 12 UNIDADE
20,CANETA ESFEROGRÁFICA,CX COM 50 UNIDADES
19,CANETA ESFEROGRÁFICA,PCT
18,CANETA ESFEROGRÁFICA,LOTE
18,CANETA ESFEROGRÁFICA,CX C/ 50 UN
17,CANETA ESFEROGRÁFICA,CAIXA COM 50 UN
17,CANETA ESFEROGRÁFICA,"CAIXA 100,00 UN"
16,CANETA ESFEROGRÁFICA,CADA
15,CANETA ESFEROGRÁFICA,CX C/ 50 UNIDADES
15,CANETA ESFEROGRÁFICA,CX C/ 50
15,CANETA ESFEROGRÁFICA,JG
14,CANETA ESFEROGRÁFICA,CAIXA C/ 50 UN
14,CANETA ESFEROGRÁFICA,CAIXA C/50 UND
14,CANETA ESFEROGRÁFICA,MATERIAL
14,CANETA ESFEROGRÁFICA,CX 50 UN
14,CANETA ESFEROGRÁFICA,KIT
14,CANETA ESFEROGRÁFICA,FOLHA
13,CANETA ESFEROGRÁFICA,RESMA
13,CANETA ESFEROGRÁFICA,CX C/50 UN
13,CANETA ESFEROGRÁFICA,CAIXA C/ 50 UNID
13,CANETA ESFEROGRÁFICA,CAIXA 50 UNID
12,CANETA ESFEROGRÁFICA,PECAS
12,CANETA ESFEROGRÁFICA,"RESMA 500,00 FL"
12,CANETA ESFEROGRÁFICA,CAIXA C/50 UNID.
12,CANETA ESFEROGRÁFICA,UN/
11,CANETA ESFEROGRÁFICA,MILHEIRO
11,CANETA ESFEROGRÁFICA,"CAIXA 10,00 UN"
11,CANETA ESFEROGRÁFICA,CX C/ 50 UNID
11,CANETA ESFEROGRÁFICA,50
11,CANETA ESFEROGRÁFICA,CAIXA C/ 50 UNID.
11,CANETA ESFEROGRÁFICA,CX COM 50
11,CANETA ESFEROGRÁFICA,CX COM 50 UNID
10,CANETA ESFEROGRÁFICA,CAIXA COM 12
10,CANETA ESFEROGRÁFICA,CAIXA C/50 UNID
10,CANETA ESFEROGRÁFICA,TIRAGEM
10,CANETA ESFEROGRÁFICA,UNDS.
10,CANETA ESFEROGRÁFICA,UNDS
10,CANETA ESFEROGRÁFICA,CAIXA COM 50UND
10,CANETA ESFEROGRÁFICA,"CAIXA 00000012,00 UN"
10,CANETA ESFEROGRÁFICA,CAIXA 50 UNIDADE
10,CANETA ESFEROGRÁFICA,NAO INFORMADO
10,CANETA ESFEROGRÁFICA,CX COM 50 UND
9,CANETA ESFEROGRÁFICA,CX C/12 UND
9,CANETA ESFEROGRÁFICA,MIL
9,CANETA ESFEROGRÁFICA,CD
9,CANETA ESFEROGRÁFICA,EST
9,CANETA ESFEROGRÁFICA,"CAIXA 10,00 RES"
9,CANETA ESFEROGRÁFICA,CAIXA C/ 12 UND
9,CANETA ESFEROGRÁFICA,CAIXA C/ 25 UNIDADES
8,CANETA ESFEROGRÁFICA,CAIXAS COM 50 UNIDAD
8,CANETA ESFEROGRÁFICA,CAIXAS C/ 50 UNIDADE
8,CANETA ESFEROGRÁFICA,CX 50 UNID
8,CANETA ESFEROGRÁFICA,CAIXA 50 UNID.
8,CANETA ESFEROGRÁFICA,CAIXA COM 50 UN.
8,CANETA ESFEROGRÁFICA,CAIXA C/ 12 UNIDADES
8,CANETA ESFEROGRÁFICA,CAIXA C/12 UNIDADES
8,CANETA ESFEROGRÁFICA,CENTENA
8,CANETA ESFEROGRÁFICA,U.
8,CANETA ESFEROGRÁFICA,CAIXA C/ 50UN
7,CANETA ESFEROGRÁFICA,CAIXA/ 50 UND
7,CANETA ESFEROGRÁFICA,CAIXAS.
7,CANETA ESFEROGRÁFICA,CX C/50 UND
7,CANETA ESFEROGRÁFICA,CAIXA.
7,CANETA ESFEROGRÁFICA,"CAIXA 00000100,00 UN"
7,CANETA ESFEROGRÁFICA,JOGOS
7,CANETA ESFEROGRÁFICA,"CAIXA 6,00 UN"
7,CANETA ESFEROGRÁFICA,"CAIXA 5000,00 UN"
6,CANETA ESFEROGRÁFICA,CAIXA C/ 12 UNID
6,CANETA ESFEROGRÁFICA,UNIDADE.
