registros,I_Cmp,I_Und
268180,CARTUCHO TINTA IMPRESSORA HP,UNIDADE
120123,CARTUCHO TONER IMPRESSORA HP,UNIDADE
40812,CARTUCHO TINTA IMPRESSORA EPSON,UNIDADE
28347,CARTUCHO IMPRESSÃO,UN
23653,CARTUCHO TONER IMPRESSORA LEXMARK,UNIDADE
22376,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 1,00 UN"
19315,CARTUCHO TONER IMPRESSORA / COPIADORA XEROX,UNIDADE
19276,CARTUCHO IMPRESSÃO,UNIDADE
18049,CARTUCHO TONER IMPRESSORA SAMSUNG,UNIDADE
15913,CARTUCHO TINTA IMPRESSORA CANON,UNIDADE
13888,CARTUCHO TINTA IMPRESSORA LEXMARK,UNIDADE
12502,CARTUCHO IMPRESSÃO,UND
11016,CARTUCHO IMPRESSÃO,UM
10997,CARTUCHO TONER IMPRESSORA HP,"CAIXA 1,00 UN"
8300,CARTUCHO TONER IMPRESSORA BROTHER,UNIDADE
5436,CARTUCHO TONER IMPRESSORA OKIDATA,UNIDADE
4697,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UNIDADE
4156,CARTUCHO TONER IMPRESSORA/COPIADORA KYOCERA,UNIDADE
3802,CARTUCHO IMPRESSÃO,UNID
3748,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SERVIÇO
3521,CARTUCHO TINTA IMPRESSORA XEROX,UNIDADE
3428,CARTUCHO IMPRESSÃO,PÇ
3381,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UND
3379,CARTUCHO TINTA IMPRESSORA HP,"CAIXA 2,00 UN"
3016,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",UN
2955,CARTUCHO TONER IMPRESSORA / COPIADORA RICOH,UNIDADE
2908,CARTUCHO TONER IMPRESSORA / COPIADORA SHARP,UNIDADE
2770,CARTUCHO TINTA IMPRESSORA EPSON,"CAIXA 1,00 UN"
2250,CARTUCHO IMPRESSÃO,PC
2169,CARTUCHO IMPRESSÃO,CARTUCHO
1911,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UN
1700,"RECARGA DE CARTUCHO PARA IMPRESSORA ""SUSPENSO""",SV
1624,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UNIDADE
1584,CARTUCHO IMPRESSÃO,PEÇA
1419,CARTUCHO TINTA IMPRESSORA OLIVETTI,UNIDADE
1288,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",UND
1203,CARTUCHO TONER IMPRESSORA EPSON,UNIDADE
1180,CARTUCHO IMPRESSÃO,UNID.
1138,"REMANUFATURAMENTO CARTUCHO (CABECA IMPRESSAO) / IMPRESSORA /COPIADORA / FAX ""SUSPENSO""",SERVIÇO
1124,CARTUCHO IMPRESSÃO,U
1086,CARTUCHO TONER IMPRESSORA TALLY,UNIDADE
1077,CARTUCHO IMPRESSÃO,PE
1073,CARTUCHO TINTA IMPRESSORA CANON,"CAIXA 1,00 UN"
1028,CARTUCHO IMPRESSÃO,UN.
1009,CARTUCHO TINTA IMPRESSORA BROTHER,UNIDADE
