registros,I_Cmp,I_Und
30679,CIMENTO PORTLAND,"SACO 50,00 KG"
5097,CIMENTO DE IONÔMERO DE VIDRO,UNIDADE
4488,CIMENTO PORTLAND,SC
3437,CIMENTO PORTLAND,SACO
2555,CIMENTO PORTLAND,UNIDADE
2443,CIMENTO ORTOPÉDICO,UNIDADE
1859,CIMENTO BRANCO,"SACO 1,00 KG"
1577,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,UNIDADE
1211,CONTROLE DE ABASTECIMENTO DE VEICULOS,SERVIÇO
1159,CIMENTO BRANCO,"SACO 50,00 KG"
1079,CIMENTO IONÔMERO VIDRO,CONJUNTO
960,CIMENTO REFRATÁRIO,UNIDADE
874,CONTROLE DE ABASTECIMENTO DE VEICULOS,UNIDADE
863,CONTROLE DE ABASTECIMENTO DE VEICULOS,LITROS
828,CIMENTO BRANCO,KG
801,CIMENTO PORTLAND,"SACO 25,00 KG"
711,CIMENTO IONÔMERO VIDRO,UNIDADE
695,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UNIDADE
624,CIMENTO PORTLAND,UN
616,CIMENTO REFRATÁRIO,SACO
525,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UNIDADE
508,CIMENTO BRANCO,UNIDADE
440,REGULADOR CRESCIMENTO PLANTA,LITRO
414,CIMENTO BRANCO,QUILOGRAMA
397,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UNIDADE
391,CIMENTO REFRATÁRIO,SC
344,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UN
341,CIMENTO PORTLAND,QUILOGRAMA
332,COMPONENTE BOMBA ABASTECIMENTO,UNIDADE
312,CIMENTO DE IONÔMERO DE VIDRO,"FRASCO 10,00 G"
310,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UND
302,CIMENTO PORTLAND,UND
292,CIMENTO RESINOSO,UNIDADE
269,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UN
245,CIMENTO BRANCO,SC
239,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,UNIDADE
233,CIMENTO DE IONÔMERO DE VIDRO,"FRASCO 8,00 ML"
228,CIMENTO PORTLAND,SACOS
221,CIMENTO PORTLAND,"SACO 42,50 KG"
221,COMPONENTE BOMBA ABASTECIMENTO,UND
213,CIMENTO PORTLAND,KG
205,CIMENTO PORTLAND,SACA
198,SISTEMA DE AQUECIMENTO,UNIDADE
198,CIMENTO BRANCO,"SACO 25,00 KG"
197,CIMENTO DE IONÔMERO DE VIDRO,"FRASCO 15,00 G"
194,CIMENTO ORTOPÉDICO,CONJUNTO
191,REGULADOR CRESCIMENTO PLANTA,UNIDADE
190,INJECOES DE CIMENTO (OBRAS CIVIS),METRO QUADRADO
189,CIMENTO BRANCO,SACO
178,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UNIDADE
173,CIMENTO PORTLAND,"SACO 20,00 KG"
166,CIMENTO BRANCO,"SACO 5,00 KG"
160,USINA DE SOLO CIMENTO,UNID
158,CIMENTO REFRATÁRIO,UN
157,CIMENTO PORTLAND,SACO 50 KG
157,CIMENTO ORTOPÉDICO,UN
156,CONEXAO HIDRAULICA - CIMENTO,PEÇA
153,CIMENTO PORTLAND,UM
150,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UNID
150,CIMENTO REFRATÁRIO,KG
150,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,SERVIÇO
146,FILTRO DESIDRATADOR - ABASTECIMENTO COMBUSTIVEL,UNIDADE
146,CONEXAO HIDRAULICA - CIMENTO,UNIDADE
141,COMPONENTE BOMBA ABASTECIMENTO,UN
137,CIMENTO ORTOPÉDICO,CX
136,CIMENTO DE IONÔMERO DE VIDRO,UN
133,CIMENTO PORTLAND,"SACO 42,00 KG"
132,CACAROLA DE AQUECIMENTO DE COLA,UNIDADE
131,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UND
124,CIMENTO ORTOPÉDICO,KIT
124,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UN
122,CIMENTO DE IONÔMERO DE VIDRO,"FRASCO 9,00 G"
122,CIMENTO DE IONÔMERO DE VIDRO,"FRASCO 10,00 ML"
118,CIMENTO REFRATÁRIO,UND
114,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,UNIDADE
111,CIMENTO REFRATÁRIO,SACO 50 KG
111,CONTROLE DE ABASTECIMENTO DE VEICULOS,MESES
109,CONTROLE DE ABASTECIMENTO DE VEICULOS,MÊS
101,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,UN
99,CIMENTO BRANCO,UN
97,TROCADORA LÍQUIDO SISTEMA ARREFECIMENTO,UNIDADE
95,CIMENTO ORTOPÉDICO,"FRASCO 20,00 ML"
92,CONTROLE DE ABASTECIMENTO DE VEICULOS,UN
91,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,SV
89,CIMENTO IONÔMERO VIDRO,"FRASCO 15,00 MG"
85,CIMENTO DE IONÔMERO DE VIDRO,CÁPSULA
85,TANQUE DE CIMENTO PARA LAVAR ROUPA,UNIDADE
83,TANQUE DE CIMENTO PARA LAVAR ROUPA,UN
82,PLACA AQUECIMENTO,UNIDADE
81,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,UN
80,BUJÃO ÓLEO ABASTECIMENTO,UNIDADE
77,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UMA
76,REGULADOR CRESCIMENTO PLANTA,QUILOGRAMA
74,CIMENTO REFRATÁRIO,SACOS
72,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,UNIDADE
72,USINA DE SOLO CIMENTO,UNIDADE
71,CIMENTO IONÔMERO VIDRO,KIT
70,CIMENTO DE IONÔMERO DE VIDRO,"FRASCO 13,00 ML"
70,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UND
68,CIMENTO REFRATÁRIO,KIT
67,CIMENTO ORTOPÉDICO,UND
67,CIMENTO IONÔMERO VIDRO,"FRASCO 10,00 G"
66,BOMBA ABASTECIMENTO DE LUBRIFICANTE VEÍCULO,UN
66,CONTROLE DE ABASTECIMENTO DE VEICULOS,LITRO
64,CIMENTO PORTLAND,SC.
64,CIMENTO ORTOPÉDICO,FRASCO
64,TAMPA TUBO ABASTECIMENTO,UN
64,CIMENTO ORTOPÉDICO,FR
63,CIMENTO ORTOPÉDICO,CAIXA
62,CIMENTO ORTOPÉDICO,"CAIXA 2,00 UN"
62,CONTROLE DE ABASTECIMENTO DE VEICULOS,SV
61,CIMENTO BRANCO,PCT
61,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,SERVIÇO
60,BUJÃO ÓLEO ABASTECIMENTO,UM
59,CIMENTO PORTLAND,"50,00 KG"
59,CIMENTO ORTOPÉDICO,"FRASCO 50,00 G"
58,CIMENTO DE IONÔMERO DE VIDRO,TB
58,TANQUE DE CIMENTO PARA LAVAR ROUPA,UND
57,CIMENTO BRANCO,KILO
55,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UN
55,USINA DE SOLO CIMENTO,UN
53,CIMENTO PORTLAND,UNID
52,CIMENTO BRANCO,QUILO
51,CIMENTO REFRATÁRIO,SACO 50KG
50,CIMENTO ORTOPÉDICO,PÇ
50,INJECOES DE CIMENTO (OBRAS CIVIS),METRO
50,CONEXAO HIDRAULICA - CIMENTO,UNID
48,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UM
46,CIMENTO PORTLAND,SC 50 KG
46,CIMENTO PORTLAND,SACAS
45,SISTEMA ENERGIA SOLAR - AQUECIMENTO DE AGUA,UN
45,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,PÇ
44,CIMENTO ORTOPÉDICO,"CAIXA 40,00 G"
43,FITA AQUECIMENTO,UNIDADE
43,CIMENTO PORTLAND,SACO DE 50 KG
43,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,PÇ
43,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UM
42,CIMENTO PORTLAND,SCO
41,CIMENTO DE IONÔMERO DE VIDRO,UND
41,INJECOES DE CIMENTO (OBRAS CIVIS),UNIDADE
41,CIMENTO DE IONÔMERO DE VIDRO,TUBO
41,CONEXAO HIDRAULICA - CIMENTO,PÇ
41,UNIDADE MOVEL LUBRIFICACAO E ABASTECIMENTO,UNIDADE
40,CIMENTO REFRATÁRIO,SACO DE 50 KG
40,CIMENTO ORTOPÉDICO,VD
40,CIMENTO IONÔMERO VIDRO,"FRASCO 8,00 ML"
39,CIMENTO DE IONÔMERO DE VIDRO,CX
39,EQUIPAMENTO CONJUGADO COM UNIDADE DE  AQUECIMENTO DE ALIMENTO,UNIDADE
39,CIMENTO ORTOPÉDICO,"BISNAGA 90,00 G"
39,CIMENTO REFRATÁRIO,SACA
39,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,PÇ
38,CIMENTO BRANCO,PACOTE
38,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,PC
38,FILTRO COMBUSTÍVEL - POSTO ABASTECIMENTO,U
37,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,JOGO
37,CIMENTO ORTOPÉDICO,PC
37,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UNID
36,TUBO DE ABASTECIMENTO DE OLEO DE MOTOR DIESEL,UND
36,REGULADOR CRESCIMENTO PLANTA,KG
36,CIMENTO REFRATÁRIO,UNIDADES
35,CIMENTO PORTLAND,SACO 50KG
35,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,PEÇA
34,EQUIPO AQUECIMENTO E INFUSÃO SANGUÍNEA,UND
34,CIMENTO ORTOPÉDICO,UM
34,TAMPA BOCAL ABASTECIMENTO ÓLEO,UNIDADE
34,TUBO DE CIMENTO - AMIANTO,UN
34,TAMPA TUBO ABASTECIMENTO,UND
33,INSTALACAO E MONTAGEM DE SISTEMAS DE AQUECIMENTO,UN
33,CIMENTO RESINOSO,"FRASCO 8,00 G"
33,TAMPA TUBO ABASTECIMENTO,UNIDADE
32,COMPONENTE HIDRAULICO DE ABASTECIMENTO EM VOO,UN
32,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,PEÇA
32,ACESSORIO BOMBA ABASTECIMENTO - VEICULO AUTOMOTIVO,UM
32,MANUTENCAO DE SISTEMAS DE AQUECIMENTO,UND
32,BOMBA ABASTECIMENTO COMBUSTÍVEL - VEÍCULO AUTOMOTI,UM
