UF,Município,Situação
GO,ABADIA DE GOIAS,Não Cadastrado
MG,ABADIA DOS DOURADOS,Aprovado
GO,ABADIANIA,Não Cadastrado
MG,ABAETE,Aprovado
PA,ABAETETUBA,Aprovado
CE,ABAIARA,Aprovado
BA,ABAIRA,Aprovado
BA,ABARE,Aprovado
PR,ABATIA,Aprovado
SC,ABDON BATISTA,Aprovado
PA,ABEL FIGUEIREDO,Aprovado
SC,ABELARDO LUZ,Aprovado
MG,ABRE CAMPO,Aprovado
PE,ABREU E LIMA,Aprovado
TO,ABREULANDIA,Aprovado
MG,ACAIACA,Aprovado
MA,ACAILANDIA,Aprovado
BA,ACAJUTIBA,Aprovado
PA,ACARA,Não Cadastrado
CE,ACARAPE,Aprovado
CE,ACARAU,Aprovado
RN,ACARI,Aprovado
PI,ACAUA,Aprovado
RS,ACEGUA,Aprovado
CE,ACOPIARA,Aprovado
MT,ACORIZAL,Não Cadastrado
AC,ACRELANDIA,Aprovado
GO,ACREUNA,Aprovado
RN,ACU,Aprovado
MG,ACUCENA,Aprovado
SP,ADAMANTINA,Aprovado
GO,ADELANDIA,Aprovado
SP,ADOLFO,Não Cadastrado
PR,ADRIANOPOLIS,Não Cadastrado
BA,ADUSTINA,Aprovado
PE,AFOGADOS DA INGAZEIRA,Aprovado
RN,AFONSO BEZERRA,Aprovado
ES,AFONSO CLAUDIO,Aprovado
MA,AFONSO CUNHA,Rejeitado
PE,AFRANIO,Aprovado
PA,AFUA,Aprovado
PE,AGRESTINA,Aprovado
PI,AGRICOLANDIA,Aprovado
SC,AGROLANDIA,Aprovado
SC,AGRONOMICA,Aprovado
PA,AGUA AZUL DO NORTE,Aprovado
MT,AGUA BOA,Aprovado
MG,AGUA BOA,Aprovado
AL,AGUA BRANCA,Aprovado
PI,AGUA BRANCA,Aprovado
PB,AGUA BRANCA,Aprovado
MS,AGUA CLARA,Em Análise
MG,AGUA COMPRIDA,Não Cadastrado
SC,AGUA DOCE,Aprovado
MA,AGUA DOCE DO MARANHAO,Não Cadastrado
ES,AGUA DOCE DO NORTE,Aprovado
BA,AGUA FRIA,Em Cadastro
GO,AGUA FRIA DE GOIAS,Não Cadastrado
GO,AGUA LIMPA,Não Cadastrado
RN,AGUA NOVA,Aprovado
PE,AGUA PRETA,Aprovado
RS,AGUA SANTA,Aprovado
SP,AGUAI,Aprovado
MG,AGUANIL,Não Cadastrado
PE,AGUAS BELAS,Aprovado
SP,AGUAS DA PRATA,Aprovado
SC,AGUAS DE CHAPECO,Não Cadastrado
SP,AGUAS DE LINDOIA,Aprovado
SP,AGUAS DE SANTA BARBARA,Aprovado
SP,AGUAS DE SAO PEDRO,Aprovado
MG,AGUAS FORMOSAS,Aprovado
SC,AGUAS FRIAS,Aprovado
GO,AGUAS LINDAS DE GOIAS,Aprovado
SC,AGUAS MORNAS,Aprovado
MG,AGUAS VERMELHAS,Aprovado
RS,AGUDO,Aprovado
SP,AGUDOS,Aprovado
PR,AGUDOS DO SUL,Não Cadastrado
ES,AGUIA BRANCA,Aprovado
PB,AGUIAR,Aprovado
TO,AGUIARNOPOLIS,Aprovado
MG,AIMORES,Aprovado
BA,AIQUARA,Aprovado
CE,AIUABA,Aprovado
MG,AIURUOCA,Não Cadastrado
RS,AJURICABA,Aprovado
MG,ALAGOA,Não Cadastrado
PB,ALAGOA GRANDE,Aprovado
PB,ALAGOA NOVA,Aprovado
PB,ALAGOINHA,Aprovado
PE,ALAGOINHA,Aprovado
PI,ALAGOINHA DO PIAUI,Aprovado
BA,ALAGOINHAS,Aprovado
SP,ALAMBARI,Aprovado
MG,ALBERTINA,Aprovado
MA,ALCANTARA,Não Cadastrado
CE,ALCANTARAS,Aprovado
PB,ALCANTIL,Aprovado
MS,ALCINOPOLIS,Não Cadastrado
BA,ALCOBACA,Aprovado
MA,ALDEIAS ALTAS,Não Cadastrado
RS,ALECRIM,Aprovado
ES,ALEGRE,Aprovado
RS,ALEGRETE,Aprovado
PI,ALEGRETE DO PIAUI,Aprovado
RS,ALEGRIA,Aprovado
MG,ALEM PARAIBA,Aprovado
PA,ALENQUER,Aprovado
RN,ALEXANDRIA,Aprovado
GO,ALEXANIA,Aprovado
MG,ALFENAS,Aprovado
ES,ALFREDO CHAVES,Aprovado
SP,ALFREDO MARCONDES,Não Cadastrado
MG,ALFREDO VASCONCELOS,Não Cadastrado
SC,ALFREDO WAGNER,Aprovado
PB,ALGODAO DE JANDAIRA,Não Cadastrado
PB,ALHANDRA,Aprovado
PE,ALIANCA,Aprovado
TO,ALIANCA DO TOCANTINS,Aprovado
BA,ALMADINA,Em Análise
TO,ALMAS,Aprovado
PA,ALMEIRIM,Aprovado
MG,ALMENARA,Aprovado
RN,ALMINO AFONSO,Aprovado
PR,ALMIRANTE TAMANDARE,Aprovado
RS,ALMIRANTE TAMANDARE DO SUL,Aprovado
GO,ALOANDIA,Não Cadastrado
MG,ALPERCATA,Não Cadastrado
RS,ALPESTRE,Aprovado
MG,ALPINOPOLIS,Aprovado
MT,ALTA FLORESTA,Aprovado
RO,ALTA FLORESTA D'OESTE,Não Cadastrado
SP,ALTAIR,Não Cadastrado
PA,ALTAMIRA,Aprovado
MA,ALTAMIRA DO MARANHAO,Não Cadastrado
PR,ALTAMIRA DO PARANA,Aprovado
CE,ALTANEIRA,Aprovado
MG,ALTEROSA,Aprovado
PE,ALTINHO,Aprovado
SP,ALTINOPOLIS,Não Cadastrado
RS,ALTO ALEGRE,Não Cadastrado
SP,ALTO ALEGRE,Não Cadastrado
RR,ALTO ALEGRE,Não Cadastrado
MA,ALTO ALEGRE DO MARANHAO,Aprovado
MA,ALTO ALEGRE DO PINDARE,Aprovado
RO,ALTO ALEGRE DOS PARECIS,Em Cadastro
MT,ALTO ARAGUAIA,Aprovado
SC,ALTO BELA VISTA,Aprovado
MT,ALTO BOA VISTA,Aprovado
MG,ALTO CAPARAO,Não Cadastrado
RN,ALTO DO RODRIGUES,Aprovado
RS,ALTO FELIZ,Aprovado
MT,ALTO GARCAS,Aprovado
GO,ALTO HORIZONTE,Em Complementação
MG,ALTO JEQUITIBA,Não Cadastrado
PI,ALTO LONGA,Aprovado
MT,ALTO PARAGUAI,Aprovado
PR,ALTO PARAISO,Não Cadastrado
RO,ALTO PARAISO,Em Cadastro
GO,ALTO PARAISO DE GOIAS,Aprovado
PR,ALTO PARANA,Aprovado
MA,ALTO PARNAIBA,Não Cadastrado
PR,ALTO PIQUIRI,Aprovado
MG,ALTO RIO DOCE,Aprovado
ES,ALTO RIO NOVO,Aprovado
CE,ALTO SANTO,Aprovado
MT,ALTO TAQUARI,Não Cadastrado
PR,ALTONIA,Em Cadastro
PI,ALTOS,Aprovado
SP,ALUMINIO,Aprovado
AM,ALVARAES,Não Cadastrado
MG,ALVARENGA,Aprovado
SP,ALVARES FLORENCE,Não Cadastrado
