UF;Municípios;R$ Transferido;;Saldo em conta;% em Saldo;% Executado*;% Executado*
AC;XAPURI;143042,76;;75562,54;0,5282514124;0,471748588;0,471748588
AC;TARAUACA;292111,1;;294058,87;1,0066679082;0;0
AC;SENADOR GUIOMARD;164172,99;;4252,57;0,0259029820;0,974097018;0,974097018
AC;SENA MADUREIRA;316296,98;;1334,84;0,0042202110;0,995779789;0,995779789
AC;SANTA ROSA DO PURUS;53699,71;;54059,26;1,0066955669;0;0
AC;RODRIGUES ALVES;140797,39;;45148,19;0,3206607026;0,679339297;0,679339297
AC;PORTO WALTER;90223,45;;35,54;0,0003939109;0,999606089;0,999606089
AC;PLACIDO DE CASTRO;145543,45;;2203,51;0,0151398775;0,984860123;0,984860123
AC;MARECHAL THAUMATURGO;140439,24;;17353,63;0,1235668179;0,876433182;0,876433182
AC;MANOEL URBANO;70365,24;;9078,78;0,1290236486;0,870976351;0,870976351
AC;MANCIO LIMA;141065,73;;2616,51;0,0185481619;0,981451838;0,981451838
AC;FEIJO;242198,99;;243813,95;1,0066679056;0;0
AC;EPITACIOLANDIA;137835,86;;68330,83;0,4957405859;0,504259414;0,504259414
AC;CRUZEIRO DO SUL;580917,57;;4097,29;0,0070531349;0,992946865;0,992946865
AC;BUJARI;80426,24;;0,00;0,0000000000;1;1
AC;BRASILEIA;188202,48;;12139,00;0,0644996814;0,935500319;0,935500319
AC;ASSIS BRASIL;58706,79;;59098,24;1,0066678829;0;0
AC;ACRELANDIA;114369,36;;24,55;0,0002146554;0,999785345;0,999785345
AL;VICOSA;210921,73;;15953,23;0,0756357821;0,924364218;0,924364218
AL;UNIAO DOS PALMARES;484315,17;;6710,60;0,0138558534;0,986144147;0,986144147
AL;TRAIPU;222237,61;;186345,91;0,8384985332;0,161501467;0,161501467
AL;TEOTONIO VILELA;343609,01;;19926,69;0,0579923384;0,942007662;0,942007662
AL;TAQUARANA;168932,59;;170060,86;1,0066788179;0;0
AL;TANQUE D'ARCA;62610,99;;63028,47;1,0066678390;0;0
AL;SENADOR RUI PALMEIRA;124904,05;;53280,34;0,4265701553;0,573429845;0,573429845
AL;SATUBA;124000;;20,22;0,0001630645;0,999836935;0,999836935
AL;SAO SEBASTIAO;268131,93;;91217,20;0,3401952166;0,659804783;0,659804783
AL;SAO MIGUEL DOS MILAGRES;72824,3;;14012,32;0,1924126974;0,807587303;0,807587303
AL;SAO MIGUEL DOS CAMPOS;459422,5;;15286,74;0,0332738166;0,966726183;0,966726183
AL;SAO LUIS DO QUITUNDE;270432,79;;87,72;0,0003243689;0,999675631;0,999675631
AL;SAO JOSE DA TAPERA;257329,88;;55676,92;0,2163639916;0,783636008;0,783636008
AL;SAO JOSE DA LAJE;200610,68;;67,65;0,0003372203;0,99966278;0,99966278
AL;SAO BRAS;67172,74;;2572,07;0,0382903839;0,961709616;0,961709616
AL;SANTANA DO MUNDAU;97891,66;;4440,80;0,0453644366;0,954635563;0,954635563
AL;SANTANA DO IPANEMA;363506,02;;365929,84;1,0066678951;0;0
AL;SANTA LUZIA DO NORTE;69084,75;;11806,88;0,1709042878;0,829095712;0,829095712
AL;RIO LARGO;547748,54;;1959,16;0,0035767507;0,996423249;0,996423249
AL;QUEBRANGULO;101000;;3548,84;0,0351370297;0,96486297;0,96486297
AL;PORTO REAL DO COLEGIO;169423,59;;107732,45;0,6358763263;0,364123674;0,364123674
AL;PORTO DE PEDRAS;71882,94;;245,27;0,0034120752;0,996587925;0,996587925
AL;PORTO CALVO;219097,48;;220586,13;1,0067944643;0;0
AL;POCO DAS TRINCHEIRAS;127850,02;;8129,81;0,0635886486;0,936411351;0,936411351
AL;PIRANHAS;206959,45;;208354,21;1,0067392912;0;0
AL;PILAR;273604,2;;4088,60;0,0149434841;0,985056516;0,985056516
AL;PIACABUCU;156638,89;;35,35;0,0002256783;0,999774322;0,999774322
AL;PENEDO;473307,58;;1428,47;0,0030180586;0,996981941;0,996981941
AL;PAULO JACINTO;70615,46;;0,00;0,0000000000;1;1
AL;PASSO DE CAMARAGIBE;132755,55;;0,00;0,0000000000;1;1
AL;PARIPUEIRA;111799,58;;70940,34;0,6345313641;0,365468636;0,365468636
AL;PARICONHA;96709,83;;13114,12;0,1356027614;0,864397239;0,864397239
AL;PAO DE ACUCAR;203305,48;;1384,25;0,0068087196;0,99319128;0,99319128
AL;PALMEIRA DOS INDIOS;536889,4;;150,47;0,0002802626;0,999719737;0,999719737
AL;PALESTINA;56039,55;;56416,30;1,0067229305;0;0
AL;OURO BRANCO;102206,94;;102891,27;1,0066955336;0;0
AL;OLIVENCA;102938,71;;103632,45;1,0067393500;0;0
AL;OLHO D'AGUA GRANDE;56678,99;;57057,54;1,0066788417;0;0
AL;OLHO D'AGUA DO CASADO;80942,84;;17,50;0,0002162020;0,999783798;0,999783798
AL;OLHO D'AGUA DAS FLORES;178682,28;;22836,72;0,1278062939;0,872193706;0,872193706
AL;NOVO LINO;109024,85;;25,55;0,0002343502;0,99976565;0,99976565
AL;MURICI;225212,17;;247,00;0,0010967436;0,998903256;0,998903256
AL;MONTEIROPOLIS;68302,58;;11951,66;0,1749810915;0,825018909;0,825018909
AL;MINADOR DO NEGRAO;57855,11;;58243,41;1,0067115938;0;0
AL;MESSIAS;156805,98;;157868,41;1,0067754431;0;0
AL;MATRIZ DE CAMARAGIBE;204692,85;;205795,35;1,0053861188;0;0
AL;MATA GRANDE;207970;;24836,14;0,1194217435;0,880578256;0,880578256
AL;MARIBONDO;112302;;0,00;0,0000000000;1;1
AL;MARECHAL DEODORO;396892,5;;1248,53;0,0031457637;0,996854236;0,996854236
AL;MARAVILHA;79743,9;;80276,49;1,0066787554;0;0
AL;MARAGOGI;259862,05;;28,94;0,0001113668;0,999888633;0,999888633
AL;MAJOR ISIDORO;167926,07;;169057,78;1,0067393348;0;0
AL;LIMOEIRO DE ANADIA;227490,2;;229007,08;1,0066678916;0;0
AL;LAGOA DA CANOA;156781,62;;179,01;0,0011417792;0,998858221;0,998858221
AL;JUNQUEIRO;204965;;20000,63;0,0975807089;0,902419291;0,902419291
AL;JUNDIA;51152,36;;51497,09;1,0067392785;0;0
AL;JOAQUIM GOMES;200987,49;;202333,21;1,0066955411;0;0
AL;JEQUIA DA PRAIA;102687,5;;103385,20;1,0067944005;0;0
AL;JAPARATINGA;75165,8;;75676,51;1,0067944464;0;0
AL;JACUIPE;67515,3;;67965,48;1,0066678220;0;0
AL;JACARE DOS HOMENS;57420,76;;20566,79;0,3581769033;0,641823097;0,641823097
AL;IGREJA NOVA;203876,41;;52274,91;0,2564048975;0,743595103;0,743595103
AL;IGACI;189314;;15238,44;0,0804929377;0,919507062;0,919507062
AL;IBATEGUARA;134873,71;;40,93;0,0003034691;0,999696531;0,999696531
AL;GIRAU DO PONCIANO;315898,91;;70,30;0,0002225395;0,99977746;0,99977746
AL;FLEXEIRAS;109578,09;;12181,33;0,1111657449;0,888834255;0,888834255
AL;FELIZ DESERTO;54572,24;;27157,55;0,4976440403;0,50235596;0,50235596
AL;FEIRA GRANDE;181411,3;;68807,24;0,3792886110;0,620711389;0,620711389
AL;DOIS RIACHOS;99803,34;;0,00;0,0000000000;1;1
AL;DELMIRO GOUVEIA;397553,48;;83493,88;0,2100192407;0,789980759;0,789980759
AL;CRAIBAS;202277,8;;203650,61;1,0067867556;0;0
AL;CORURIPE;425626,25;;83,94;0,0001972153;0,999802785;0,999802785
AL;COQUEIRO SECO;60801,13;;50,17;0,0008251491;0,999174851;0,999174851
AL;COLONIA LEOPOLDINA;178741,22;;3075,75;0,0172078382;0,982792162;0,982792162
AL;COITE DO NOIA;97623,32;;98274,26;1,0066678740;0;0
AL;CHA PRETA;69170,38;;11883,35;0,1717982466;0,828201753;0,828201753
AL;CARNEIROS;79275,75;;0,49;0,0000061810;0,999993819;0,999993819
AL;CAPELA;152221,39;;27281,94;0,1792254032;0,820774597;0,820774597
AL;CANAPI;156040,93;;157085,35;1,0066932439;0;0
AL;CAMPO GRANDE;81999,87;;82546,64;1,0066679374;0;0
AL;CAMPO ALEGRE;426363,62;;190244,33;0,4462020704;0,55379793;0,55379793
AL;CAMPESTRE;67029,42;;14,76;0,0002202018;0,999779798;0,999779798
AL;CAJUEIRO;176263,37;;22487,63;0,1275797121;0,872420288;0,872420288
AL;CACIMBINHAS;98564,44;;47,05;0,0004773527;0,999522647;0,999522647
AL;BOCA DA MATA;219759,77;;68,71;0,0003126596;0,99968734;0,99968734
AL;BELO MONTE;65705,44;;887,05;0,0135004042;0,986499596;0,986499596
AL;BELEM;52231,06;;52579,33;1,0066678716;0;0
AL;BATALHA;158952,68;;160016,59;1,0066932498;0;0
AL;BARRA DE SAO MIGUEL;74943,14;;0,00;0,0000000000;1;1
AL;BARRA DE SANTO ANTONIO;136677,86;;18399,76;0,1346213644;0,865378636;0,865378636
AL;ATALAIA;360828,34;;363279,97;1,0067944497;0;0
AL;ARAPIRACA;1616900;;105407,41;0,0651910508;0,934808949;0,934808949
AL;ANADIA;155030,38;;0,00;0,0000000000;1;1
AL;AGUA BRANCA;170165,81;;30,27;0,0001778853;0,999822115;0,999822115
AM;TABATINGA;460489,88;;23757,75;0,0515923390;0,948407661;0,948407661
AM;SAO PAULO DE OLIVENCA;287794,54;;0,00;0,0000000000;1;1
AM;SANTO ANTONIO DO ICA;172660,58;;24,08;0,0001394644;0,999860536;0,999860536
AM;PRESIDENTE FIGUEIREDO;263505,3;;14,00;0,0000531299;0,99994687;0,99994687
AM;PARINTINS;765165,54;;191,45;0,0002502073;0,999749793;0,999749793
AM;NOVO AIRAO;153350,05;;11814,37;0,0770418399;0,92295816;0,92295816
AM;NOVA OLINDA DO NORTE;276826,92;;2057,85;0,0074337062;0,992566294;0,992566294
AM;MAUES;449419,49;;146645,68;0,3263002234;0,673699777;0,673699777
AM;MANICORE;395818,56;;0,00;0,0000000000;1;1
AM;MANAQUIRI;230882,19;;18651,58;0,0807839704;0,91921603;0,91921603
AM;MANACAPURU;661663,35;;414852,40;0,6269841000;0,3730159;0,3730159
AM;ITACOATIARA;684272;;688842,11;1,0066787915;0;0
AM;IRANDUBA;346208,43;;0,00;0,0000000000;1;1
AM;HUMAITA;391982,92;;271825,16;0,6934617457;0,306538254;0,306538254
AM;ENVIRA;156657,4;;157707,09;1,0067005453;0;0
AM;CAREIRO;279630,2;;1125,10;0,0040235282;0,995976472;0,995976472
AM;CARAUARI;210869,24;;42,72;0,0002025900;0,99979741;0,99979741
AM;CAAPIRANGA;109919,08;;55377,04;0,5037982487;0,496201751;0,496201751
AM;BENJAMIN CONSTANT;308833;;69852,77;0,2261829856;0,773817014;0,773817014
AM;BARREIRINHA;239309,16;;4110,76;0,0171776124;0,982822388;0,982822388
AM;ANAMA;112962,15;;25204,55;0,2231238517;0,776876148;0,776876148
AM;AMATURA;94051,1;;94678,22;1,0066678646;0;0
AP;VITORIA DO JARI;112431,88;;0,00;0,0000000000;1;1
AP;TARTARUGALZINHO;124628,91;;11739,12;0,0941925914;0,905807409;0,905807409
AP;SERRA DO NAVIO;43699,19;;43993,69;1,0067392554;0;0
AP;SANTANA;765917;;771078,75;1,0067393073;0;0
AP;PRACUUBA;42117,71;;42401,55;1,0067392078;0;0
AP;PORTO GRANDE;151211,54;;152238,94;1,0067944550;0;0
AP;PEDRA BRANCA DO AMAPARI;115691,91;;116471,59;1,0067392785;0;0
AP;OIAPOQUE;185760,59;;58874,29;0,3169363857;0,683063614;0,683063614
AP;MAZAGAO;149276,08;;30981,26;0,2075433653;0,792456635;0,792456635
AP;LARANJAL DO JARI;330760,4;;20227,45;0,0611543885;0,938845612;0,938845612
AP;ITAUBAL;44304,38;;44599,80;1,0066679638;0;0
AP;FERREIRA GOMES;57304,52;;57689,77;1,0067228554;0;0
AP;CUTIAS;47000;;14,92;0,0003174468;0,999682553;0,999682553
AP;CALCOENE;80651,86;;199,58;0,0024745865;0,997525414;0,997525414
AP;AMAPA;64892,22;;40210,04;0,6196434642;0,380356536;0,380356536
BA;XIQUE-XIQUE;355168,07;;82,88;0,0002333543;0,999766646;0,999766646
BA;WENCESLAU GUIMARAES;174363,86;;4289,25;0,0245994210;0,975400579;0,975400579
BA;WAGNER;80299,33;;19,95;0,0002484454;0,999751555;0,999751555
BA;VITORIA DA CONQUISTA;2212054,14;;6092,20;0,0027540917;0,997245908;0,997245908
BA;VERA CRUZ;341880;;16183,81;0,0473376916;0,952662308;0,952662308
BA;VARZEDO;77404,7;;19,79;0,0002556692;0,999744331;0,999744331
BA;VARZEA NOVA;108418,89;;35674,91;0,3290469954;0,670953005;0,670953005
BA;VARZEA DO POCO;79300,2;;17,03;0,0002147536;0,999785246;0,999785246
BA;VARZEA DA ROCA;125433,8;;25,12;0,0002002650;0,999799735;0,999799735
BA;VALENTE;225434,91;;44,41;0,0001969970;0,999803003;0,999803003
BA;VALENCA;686032,47;;68475,44;0,0998137012;0,900186299;0,900186299
BA;UTINGA;163384,82;;164483,23;1,0067228400;0;0
BA;URUCUCA;171041,03;;0,00;0,0000000000;1;1
BA;URANDI;148997,31;;149997,32;1,0067115977;0;0
BA;UNA;162379,98;;64841,37;0,3993187461;0,600681254;0,600681254
BA;UIBAI;124194,87;;125024,34;1,0066787783;0;0
BA;UBATA;217224,9;;2057,09;0,0094698628;0,990530137;0,990530137
BA;UBAITABA;162666,52;;172,96;0,0010632796;0,99893672;0,99893672
BA;UBAIRA;167478,41;;168595,14;1,0066679042;0;0
BA;UAUA;201267,32;;40,48;0,0002011255;0,999798874;0,999798874
BA;TUCANO;388189,48;;27212,86;0,0701020028;0,929897997;0,929897997
BA;TERRA NOVA;110322,65;;3039,11;0,0275474710;0,972452529;0,972452529
BA;TEOFILANDIA;182453,97;;14088,04;0,0772142146;0,922785785;0,922785785
